date,ticker,price,sp500_price,risk_free_rate,market_excess,stock_excess
20100129,24991ba4,23.06,1073.87,0,0.028513693,0.068950564
20100226,24991ba4,24.65,1104.49,0,0.058696368,0.042902028
20100331,24991ba4,25.71,1169.43,1.00E-04,0.014659327,0.006026021
20100430,24991ba4,25.8675,1186.69,1.00E-04,-0.082075916,-0.127576563
20100528,24991ba4,22.57,1089.41,1.00E-04,-0.053982377,-0.049280328
20100630,24991ba4,21.46,1030.71,1.00E-04,0.068677833,0.101484343
20100730,24991ba4,23.64,1101.6,1.00E-04,-0.047549165,-0.076030626
20100831,24991ba4,21.845,1049.33,1.00E-04,0.087451104,0.229014214
20100930,24991ba4,26.85,1141.2,1.00E-04,0.036755941,0.094127188
20101029,24991ba4,29.38,1183.26,1.00E-04,-0.002390283,-0.079575834
20101130,24991ba4,27.045,1180.55,1.00E-04,0.065200072,0.157230375
20101231,24991ba4,31.3,1257.64,1.00E-04,0.02254559,0.023222684
20110131,24991ba4,32.03,1286.12,1.00E-04,0.031856583,0.027062036
20110228,24991ba4,32.9,1327.22,1.00E-04,-0.001147302,0.01608541
20110331,24991ba4,33.4325,1325.83,1.00E-04,0.028495358,0.07560009
20110429,24991ba4,35.96,1363.61,0,-0.013500928,-0.048387097
20110531,24991ba4,34.22,1345.2,0,-0.018257508,-0.038281707
20110630,24991ba4,32.91,1320.64,0,-0.021474437,-0.070799149
20110729,24991ba4,30.58,1292.28,0,-0.056891098,-0.082179791
20110831,24991ba4,28.07,1218.89,1.00E-04,-0.071762013,0.023868899
20110930,24991ba4,28.74,1131.42,0,0.107723038,0.140222686
20111031,24991ba4,32.77,1253.3,0,-0.005058645,-0.043332316
20111130,24991ba4,31.35,1246.96,0,0.008532752,-0.181818182
20111230,24991ba4,25.65,1257.6,0,0.043583015,0.099805068
20120131,24991ba4,28.21,1312.41,0,0.04058945,0.037043602
20120229,24991ba4,29.255,1365.68,0,0.031332377,-0.003247308
20120330,24991ba4,29.16,1408.47,0,-0.007497497,0.008230453
20120430,24991ba4,29.4,1397.91,0,-0.062750671,-0.099759864
20120531,24991ba4,26.47,1310.33,1.00E-04,0.039554921,0.122024934
20120629,24991ba4,29.7,1362.16,0,0.012597639,0.016835017
20120731,24991ba4,30.2,1379.32,0,0.019663362,0.047913245
20120831,24991ba4,31.65,1406.58,1.00E-04,0.02413609,-0.00610316
20120928,24991ba4,31.46,1440.67,1.00E-04,-0.019889404,-0.01217883
20121031,24991ba4,31.08,1412.16,1.00E-04,0.002746703,0.03513166
20121130,24991ba4,32.175,1416.18,1.00E-04,0.006968311,0.035486636
20121231,24991ba4,33.32,1426.19,1.00E-04,0.050428064,0.065726291
20130131,24991ba4,35.51,1498.11,0,0.011060603,-0.035764573
20130228,24991ba4,34.24,1514.68,0,0.035987799,-0.05578271
20130328,24991ba4,32.33,1569.19,0,0.018085764,0.013918961
